DATE,DGS1MO
2018-12-03,2.30
2018-12-04,2.37
2018-12-05,.
2018-12-06,2.36
2018-12-07,2.32
2018-12-10,2.32
2018-12-11,2.28
2018-12-12,2.30
2018-12-13,2.36
2018-12-14,2.36
2018-12-17,2.36
2018-12-18,2.35
2018-12-19,2.35
2018-12-20,2.42
2018-12-21,2.41
2018-12-24,2.42
2018-12-25,.
2018-12-26,2.41
2018-12-27,2.43
2018-12-28,2.39
2018-12-31,2.44
2019-01-01,.
2019-01-02,2.40
2019-01-03,2.42
2019-01-04,2.40
2019-01-07,2.42
2019-01-08,2.40
2019-01-09,2.40
2019-01-10,2.42
2019-01-11,2.41
2019-01-14,2.42
2019-01-15,2.41
2019-01-16,2.41
2019-01-17,2.41
2019-01-18,2.40
2019-01-21,.
2019-01-22,2.38
2019-01-23,2.37
2019-01-24,2.38
2019-01-25,2.36
2019-01-28,2.39
2019-01-29,2.39
2019-01-30,2.40
2019-01-31,2.42
2019-02-01,2.41
2019-02-04,2.41
2019-02-05,2.39
2019-02-06,2.40
2019-02-07,2.43
2019-02-08,2.43
2019-02-11,2.44
2019-02-12,2.42
2019-02-13,2.42
2019-02-14,2.45
2019-02-15,2.43
2019-02-18,.
2019-02-19,2.44
2019-02-20,2.41
2019-02-21,2.43
2019-02-22,2.43
2019-02-25,2.44
2019-02-26,2.43
2019-02-27,2.43
2019-02-28,2.44
2019-03-01,2.44
2019-03-04,2.45
2019-03-05,2.44
2019-03-06,2.43
2019-03-07,2.45
2019-03-08,2.45
2019-03-11,2.44
2019-03-12,2.44
2019-03-13,2.43
2019-03-14,2.48
2019-03-15,2.46
2019-03-18,2.47
2019-03-19,2.46
2019-03-20,2.45
2019-03-21,2.51
2019-03-22,2.49
2019-03-25,2.47
2019-03-26,2.46
2019-03-27,2.45
2019-03-28,2.44
2019-03-29,2.43
2019-04-01,2.42
2019-04-02,2.43
2019-04-03,2.42
2019-04-04,2.43
2019-04-05,2.42
2019-04-08,2.43
2019-04-09,2.42
2019-04-10,2.40
2019-04-11,2.42
2019-04-12,2.41
2019-04-15,2.42
2019-04-16,2.43
2019-04-17,2.43
2019-04-18,2.44
2019-04-19,.
2019-04-22,2.44
2019-04-23,2.43
2019-04-24,2.42
2019-04-25,2.43
2019-04-26,2.42
2019-04-29,2.45
2019-04-30,2.43
