DATE,WILL5000PRFC
2018-12-03,28769.66
2018-12-04,27796.92
2018-12-05,.
2018-12-06,27775.79
2018-12-07,27143.87
2018-12-10,27160.11
2018-12-11,27140.36
2018-12-12,27302.52
2018-12-13,27239.89
2018-12-14,26749.35
2018-12-17,26160.15
2018-12-18,26158.24
2018-12-19,25752.59
2018-12-20,25333.39
2018-12-21,24791.02
2018-12-24,24151.41
2018-12-25,.
2018-12-26,25366.86
2018-12-27,25551.63
2018-12-28,25541.99
2018-12-31,25749.73
2019-01-01,.
2019-01-02,25795.31
2019-01-03,25200.47
2019-01-04,26080.79
2019-01-07,26331.32
2019-01-08,26613.79
2019-01-09,26741.39
2019-01-10,26853.72
2019-01-11,26855.23
2019-01-14,26697.70
2019-01-15,26979.60
2019-01-16,27059.58
2019-01-17,27266.47
2019-01-18,27616.51
2019-01-21,.
2019-01-22,27214.47
2019-01-23,27256.95
2019-01-24,27323.83
2019-01-25,27580.23
2019-01-28,27384.12
2019-01-29,27336.81
2019-01-30,27741.54
2019-01-31,27992.41
2019-02-01,28026.70
2019-02-04,28232.75
2019-02-05,28362.60
2019-02-06,28292.56
2019-02-07,28038.62
2019-02-08,28058.96
2019-02-11,28103.93
2019-02-12,28462.50
2019-02-13,28548.53
2019-02-14,28493.25
2019-02-15,28804.29
2019-02-18,.
2019-02-19,28862.44
2019-02-20,28905.49
2019-02-21,28799.43
2019-02-22,28986.31
2019-02-25,29021.31
2019-02-26,28973.77
2019-02-27,28990.72
2019-02-28,28902.93
2019-03-01,29102.63
2019-03-04,28964.72
2019-03-05,28923.11
2019-03-06,28686.55
2019-03-07,28463.00
2019-03-08,28402.19
2019-03-11,28828.74
2019-03-12,28905.08
2019-03-13,29095.61
2019-03-14,29064.46
2019-03-15,29193.75
2019-03-18,29322.47
2019-03-19,29300.45
2019-03-20,29200.55
2019-03-21,29530.24
2019-03-22,28909.55
2019-03-25,28891.56
2019-03-26,29110.70
2019-03-27,28967.79
2019-03-28,29083.83
2019-03-29,29267.10
2019-04-01,29607.44
2019-04-02,29605.13
2019-04-03,29680.52
2019-04-04,29725.31
2019-04-05,29886.68
2019-04-08,29908.90
2019-04-09,29710.98
2019-04-10,29860.77
2019-04-11,29866.01
2019-04-12,30059.95
2019-04-15,30030.63
2019-04-16,30047.66
2019-04-17,29943.64
2019-04-18,29981.12
2019-04-19,.
2019-04-22,30009.02
2019-04-23,30300.72
2019-04-24,30247.30
2019-04-25,30208.63
2019-04-26,30371.13
2019-04-29,30415.55
2019-04-30,30410.01
